token,nre
paid,O
by,O
the,O
respondents,O
to,O
the,O
appellant,O
in,O
regular,O
monthly,O
instalments,O
of,O
"Rs.15,00,000/-",O
(Rupees,O
fifteen,O
lac).,O
We,O
accordingly,O
direct,O
that,O
the,O
respondents,O
shall,O
pay,O
the,O
first,O
instalment,O
of,O
Rs.15,O
lac,O
by,O
first,O
week,O
of,O
April,O
2016.,O
The,O
remaining,O
11,O
instalments,O
of,O
Rs.15,O
lac,O
each,O
shall,O
be,O
paid,O
regularly,O
by,O
the,O
first,O
week,O
of,O
each,O
succeeding,O
month.,O
On,O
admission,O
or,O
proof,O
of,O
such,O
payments,O
in,O
accordance,O
with,O
the,O
aforesaid,O
"arrangement,",O
the,O
complaint,O
case,O
shall,O
stand,O
quashed,O
if,O
the,O
entire,O
amount,O
of,O
"Rs.1,80,00,000/-",O
is,O
paid,O
by,O
the,O
respondents,O
to,O
the,O
appellant,O
3,O
Page,O
3,O
,O
Crl.A.,CASE_NO
@,CASE_NO
S.L.P(Crl.)No.9288,CASE_NO
of,CASE_NO
2011,CASE_NO
by,O
the,O
first,O
week,O
of,O
March,O
2017.,O
Till,O
then,O
the,O
complaint,O
case,O
shall,O
remain,O
in,O
abeyance.,O
It,O
is,O
made,O
clear,O
that,O
if,O
the,O
entire,O
payment,O
is,O
not,O
made,O
within,O
the,O
time,O
indicated,O
above,O
then,O
this,O
order,O
shall,O
stand,O
recalled,O
and,O
the,O
complainant,O
will,O
be,O
at,O
liberty,O
to,O
move,O
the,O
concerned,O
court,O
for,O
proceeding,O
with,O
the,O
criminal,O
case,O
any,O
time,O
in,O
April,O
2017,O
by,O
virtue,O
of,O
the,O
present,O
order.,O
The,O
appeal,O
is,O
disposed,O
of,O
in,O
the,O
aforesaid,O
terms.,O
.…………………………………….J.,O
[,O
DIPAK,JUDGE
MISRA,JUDGE
],O
……………………………………..J.,O
[,O
SHIVA,JUDGE
KIRTI,JUDGE
SINGH,JUDGE
],O
,O
New,LOC_OF_JUDGMENT
Delhi,LOC_OF_JUDGMENT
.,O
,O
March,DATE_OF_JUDGMENT
"18,",DATE_OF_JUDGMENT
2016,DATE_OF_JUDGMENT
.,O
4,O
Page,O
"4""",O
